ID,MSSubClass,MSZoning.C..all.,MSZoning.FV,MSZoning.RH,MSZoning.RL,MSZoning.RM,log.LotFrontage,log.LotArea,Street.Grvl,Street.Pave,Alley.Grvl,Alley.None,Alley.Pave,LotShape.IR1,LotShape.IR2,LotShape.IR3,LotShape.Reg,LandContour.Bnk,LandContour.HLS,LandContour.Low,LandContour.Lvl,Utilities.AllPub,Utilities.NoSeWa,LotConfig.Corner,LotConfig.CulDSac,LotConfig.FR2,LotConfig.FR3,LotConfig.Inside,LandSlope.Gtl,LandSlope.Mod,LandSlope.Sev,Neighborhood.Blmngtn,Neighborhood.Blueste,Neighborhood.BrDale,Neighborhood.BrkSide,Neighborhood.ClearCr,Neighborhood.CollgCr,Neighborhood.Crawfor,Neighborhood.Edwards,Neighborhood.Gilbert,Neighborhood.IDOTRR,Neighborhood.MeadowV,Neighborhood.Mitchel,Neighborhood.NAmes,Neighborhood.NoRidge,Neighborhood.NPkVill,Neighborhood.NridgHt,Neighborhood.NWAmes,Neighborhood.OldTown,Neighborhood.Sawyer,Neighborhood.SawyerW,Neighborhood.Somerst,Neighborhood.StoneBr,Neighborhood.SWISU,Neighborhood.Timber,Neighborhood.Veenker,Condition1.Artery,Condition1.Feedr,Condition1.Norm,Condition1.PosA,Condition1.PosN,Condition1.RRAe,Condition1.RRAn,Condition1.RRNe,Condition1.RRNn,Condition2.Artery,Condition2.Feedr,Condition2.Norm,Condition2.PosA,Condition2.PosN,Condition2.RRAe,Condition2.RRAn,Condition2.RRNn,BldgType.1Fam,BldgType.2fmCon,BldgType.Duplex,BldgType.Twnhs,BldgType.TwnhsE,HouseStyle.1.5Fin,HouseStyle.1.5Unf,HouseStyle.1Story,HouseStyle.2.5Fin,HouseStyle.2.5Unf,HouseStyle.2Story,HouseStyle.SFoyer,HouseStyle.SLvl,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle.Flat,RoofStyle.Gable,RoofStyle.Gambrel,RoofStyle.Hip,RoofStyle.Mansard,RoofStyle.Shed,RoofMatl.ClyTile,RoofMatl.CompShg,RoofMatl.Membran,RoofMatl.Metal,RoofMatl.Roll,RoofMatl.Tar.Grv,RoofMatl.WdShake,RoofMatl.WdShngl,Exterior1st.AsbShng,Exterior1st.AsphShn,Exterior1st.BrkComm,Exterior1st.BrkFace,Exterior1st.CBlock,Exterior1st.CemntBd,Exterior1st.HdBoard,Exterior1st.ImStucc,Exterior1st.MetalSd,Exterior1st.Plywood,Exterior1st.Stone,Exterior1st.Stucco,Exterior1st.VinylSd,Exterior1st.Wd.Sdng,Exterior1st.WdShing,Exterior2nd.AsbShng,Exterior2nd.AsphShn,Exterior2nd.Brk.Cmn,Exterior2nd.BrkFace,Exterior2nd.CBlock,Exterior2nd.CmentBd,Exterior2nd.HdBoard,Exterior2nd.ImStucc,Exterior2nd.MetalSd,Exterior2nd.Other,Exterior2nd.Plywood,Exterior2nd.Stone,Exterior2nd.Stucco,Exterior2nd.VinylSd,Exterior2nd.Wd.Sdng,Exterior2nd.Wd.Shng,MasVnrType.BrkCmn,MasVnrType.BrkFace,MasVnrType.None,MasVnrType.Stone,log.MasVnrArea,ExterQual.Ex,ExterQual.Fa,ExterQual.Gd,ExterQual.TA,ExterCond.Ex,ExterCond.Fa,ExterCond.Gd,ExterCond.Po,ExterCond.TA,Foundation.BrkTil,Foundation.CBlock,Foundation.PConc,Foundation.Slab,Foundation.Stone,Foundation.Wood,BsmtQual.Ex,BsmtQual.Fa,BsmtQual.Gd,BsmtQual.None,BsmtQual.TA,BsmtCond.Fa,BsmtCond.Gd,BsmtCond.None,BsmtCond.Po,BsmtCond.TA,BsmtExposure.Av,BsmtExposure.Gd,BsmtExposure.Mn,BsmtExposure.No,BsmtExposure.None,BsmtFinType1.ALQ,BsmtFinType1.BLQ,BsmtFinType1.GLQ,BsmtFinType1.LwQ,BsmtFinType1.None,BsmtFinType1.Rec,BsmtFinType1.Unf,log.BsmtFinSF1,BsmtFinType2.ALQ,BsmtFinType2.BLQ,BsmtFinType2.GLQ,BsmtFinType2.LwQ,BsmtFinType2.None,BsmtFinType2.Rec,BsmtFinType2.Unf,BsmtFinSF2,log.BsmtUnfSF,log.TotalBsmtSF,Heating.Floor,Heating.GasA,Heating.GasW,Heating.Grav,Heating.OthW,Heating.Wall,HeatingQC.Ex,HeatingQC.Fa,HeatingQC.Gd,HeatingQC.Po,HeatingQC.TA,CentralAir.N,CentralAir.Y,Electrical.FuseA,Electrical.FuseF,Electrical.FuseP,Electrical.Mix,Electrical.SBrkr,log.X1stFlrSF,log.X2ndFlrSF,LowQualFinSF,log.GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual.Ex,KitchenQual.Fa,KitchenQual.Gd,KitchenQual.TA,TotRmsAbvGrd,Functional.Maj1,Functional.Maj2,Functional.Min1,Functional.Min2,Functional.Mod,Functional.Sev,Functional.Typ,Fireplaces,FireplaceQu.Ex,FireplaceQu.Fa,FireplaceQu.Gd,FireplaceQu.None,FireplaceQu.Po,FireplaceQu.TA,GarageType.2Types,GarageType.Attchd,GarageType.Basment,GarageType.BuiltIn,GarageType.CarPort,GarageType.Detchd,GarageType.None,GarageYrBlt,GarageFinish.Fin,GarageFinish.RFn,GarageFinish.Unf,GarageCars,log.GarageArea,GarageQual.Ex,GarageQual.Fa,GarageQual.Gd,GarageQual.Po,GarageQual.TA,GarageCond.Ex,GarageCond.Fa,GarageCond.Gd,GarageCond.Po,GarageCond.TA,PavedDrive.N,PavedDrive.P,PavedDrive.Y,log.WoodDeckSF,log.OpenPorchSF,log.EnclosedPorch,log.X3SsnPorch,log.ScreenPorch,PoolArea,log.PoolArea,PoolQC.Ex,PoolQC.Fa,PoolQC.Gd,PoolQC.None,Fence.GdPrv,Fence.GdWo,Fence.MnPrv,Fence.MnWw,Fence.None,MiscFeature.Gar2,MiscFeature.None,MiscFeature.Othr,MiscFeature.Shed,MiscFeature.TenC,log.MiscVal,MoSold,YrSold,SaleType.COD,SaleType.Con,SaleType.ConLD,SaleType.ConLI,SaleType.ConLw,SaleType.CWD,SaleType.New,SaleType.Oth,SaleType.WD,SaleCondition.Abnorml,SaleCondition.AdjLand,SaleCondition.Alloca,SaleCondition.Family,SaleCondition.Normal,SaleCondition.Partial,log.SalePrice
238,60,0,0,0,1,0,0,9.154193211,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,7,1993,2003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5.998936562,0,0,0,0,0,0,1,0,6.388561406,6.90475077,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.922643891,6.59441346,0,7.464509835,0,0,2,1,3,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1993,0,1,0,2,6.126869184,0,0,0,0,1,0,0,0,0,1,0,0,1,5.916202063,4.262679877,0,5.476463552,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.17818744
239,20,0,0,0,1,0,4.543294782,9.395241931,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,5,2007,2007,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.541263545,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.43543802,7.43543802,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.43543802,0,0,7.43543802,0,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2007,1,0,0,3,6.708084084,0,0,0,0,1,0,0,0,0,1,0,0,1,5.129898715,5.433722004,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.66980666
240,50,0,0,0,1,0,3.970291914,9.075894275,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,4,1945,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.553876892,0,0,0,0,0,0,1,0,6.464588304,6.601230119,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6.683360946,6.536691598,0,7.305188215,0,0,1,1,3,1,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1949,0,0,1,1,5.398162702,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4.94875989,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.6351431
241,20,0,1,0,0,0,4.33073334,9.105090961,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,5,2008,2008,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.610917913,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6.983789965,0,0,0,0,0,0,1,0,6.192362489,7.356918242,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.356918242,0,0,7.356918242,1,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2008,0,1,0,2,6.621405652,0,0,0,0,1,0,0,0,0,1,0,0,1,4.976733742,5.129898715,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.47800636
242,30,0,0,0,0,1,3.713572067,8.263848131,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,9,1945,1997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5.799092654,0,0,0,0,0,0,1,0,5.880532986,6.532334292,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6.765038977,0,0,6.765038977,0,0,1,0,2,1,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4.077537444,3.761200116,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,8,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.6127708
243,50,0,0,0,0,1,4.158883083,8.517393171,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,4,1900,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.293419279,6.293419279,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6.791221463,6.313548046,0,7.273092596,0,0,1,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1940,0,0,1,1,5.866468057,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.356708827,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.27720313
244,160,0,0,0,1,0,4.33073334,9.283869605,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,6,1980,1980,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.440946541,6.440946541,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6.440946541,6.383506635,0,7.104965448,0,0,1,1,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1980,0,1,0,1,5.666426688,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3.36729583,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.69524702
245,60,0,0,0,1,0,0,9.091669442,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,1994,2002,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.54534966,0,0,0,0,0,0,1,0,5.537334267,6.855408799,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.109062136,6.790097236,0,7.654917048,1,0,2,1,3,1,0,0,1,0,8,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1994,0,1,0,2,6.139884552,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4.875197323,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.23076526
246,20,0,0,0,1,0,4.394449155,9.249657234,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,5,1988,1988,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.634728988,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6.835184586,0,0,0,0,0,0,1,0,6.821107472,7.520776415,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7.535296702,0,0,7.535296702,0,1,2,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1988,1,0,0,2,6.405228458,0,0,0,0,1,0,0,0,0,1,0,0,1,5.288267031,3.688879454,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.39462475
247,190,0,0,0,0,1,4.248495242,9.120743838,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,8,1910,1950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.928537818,6.928537818,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6.812345094,6.928537818,0,7.564757013,0,0,2,0,4,2,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1910,0,0,1,1,6.089044875,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.110873864,4.727387819,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.8277362
248,20,0,0,0,1,0,4.33073334,9.333530983,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1954,1954,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.221105098,7.221105098,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.226936018,0,0,7.226936018,0,0,1,0,2,1,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1954,0,0,1,2,6.11368218,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3.433987204,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.8493977
249,60,0,0,0,1,0,4.290459441,9.334149658,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2003,2003,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.624972813,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.73459166,6.73459166,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.73459166,6.720220155,0,7.419979924,0,0,2,1,3,1,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2003,0,1,0,2,6.216606101,0,0,0,0,1,0,0,0,0,1,0,0,1,4.976733742,4.234106505,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,9,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.10071213
250,50,0,0,0,1,0,0,11.97666577,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,7,1958,2006,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.159095388,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6.548219103,0,0,0,0,0,0,1,0,6.617402978,7.275864601,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7.275864601,6.552507887,0,7.670894831,0,1,2,0,4,1,0,0,1,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1958,1,0,0,2,5.966146739,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4.59511985,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,6.216606101,6,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.53177279
251,30,0,0,0,1,0,4.025351691,8.585038738,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1940,1966,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.591673732,6.591673732,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.175489714,0,0,7.175489714,0,0,1,0,3,1,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5.575949103,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6.11146734,5,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.24504602
252,120,0,0,0,0,1,3.80666249,8.466110401,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,5,2006,2007,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.177944114,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,7.361375429,0,0,0,0,0,0,1,0,0,7.361375429,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7.39387829,0,0,7.39387829,1,1,2,0,2,1,0,0,1,0,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2006,1,0,0,2,6.289715571,0,0,0,0,1,0,0,0,0,1,0,0,1,4.820281566,0,0,0,5.036952602,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12,2007,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12.36734079
253,60,0,0,0,1,0,4.189654742,9.032050676,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,5,2004,2004,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.683360946,6.683360946,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6.683360946,6.736966958,0,7.403061091,0,0,2,1,3,1,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2004,0,1,0,2,6.255750042,0,0,0,0,1,0,0,0,0,1,0,0,1,4.934473933,3.828641396,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,12,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.06104687
